STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USS0012M26S,AGUA CANYON UT US,20120101,40,51,33,37
GHCND:USS0012M26S,AGUA CANYON UT US,20120102,38,45,33,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120103,42,52,35,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120104,42,52,35,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120105,42,55,35,37
GHCND:USS0012M26S,AGUA CANYON UT US,20120106,39,50,35,35
GHCND:USS0012M26S,AGUA CANYON UT US,20120107,27,36,17,17
GHCND:USS0012M26S,AGUA CANYON UT US,20120108,21,32,13,23
GHCND:USS0012M26S,AGUA CANYON UT US,20120109,35,48,21,33
GHCND:USS0012M26S,AGUA CANYON UT US,20120110,38,52,31,32
GHCND:USS0012M26S,AGUA CANYON UT US,20120111,25,32,17,19
GHCND:USS0012M26S,AGUA CANYON UT US,20120112,26,38,17,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120113,32,44,22,33
GHCND:USS0012M26S,AGUA CANYON UT US,20120114,38,50,32,33
GHCND:USS0012M26S,AGUA CANYON UT US,20120115,32,40,25,26
GHCND:USS0012M26S,AGUA CANYON UT US,20120116,22,29,15,19
GHCND:USS0012M26S,AGUA CANYON UT US,20120117,25,34,17,27
GHCND:USS0012M26S,AGUA CANYON UT US,20120118,36,44,27,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120119,40,50,32,36
GHCND:USS0012M26S,AGUA CANYON UT US,20120120,37,46,31,34
GHCND:USS0012M26S,AGUA CANYON UT US,20120121,28,35,20,20
GHCND:USS0012M26S,AGUA CANYON UT US,20120122,23,34,16,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120123,24,27,22,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120124,23,31,19,23
GHCND:USS0012M26S,AGUA CANYON UT US,20120125,34,47,22,35
GHCND:USS0012M26S,AGUA CANYON UT US,20120126,36,45,29,30
GHCND:USS0012M26S,AGUA CANYON UT US,20120127,24,31,16,20
GHCND:USS0012M26S,AGUA CANYON UT US,20120128,29,42,17,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120129,36,46,29,34
GHCND:USS0012M26S,AGUA CANYON UT US,20120130,35,45,31,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120131,33,45,28,28
GHCND:USS0012M26S,AGUA CANYON UT US,20120201,31,43,24,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120202,23,28,18,19
GHCND:USS0012M26S,AGUA CANYON UT US,20120203,23,34,17,22
GHCND:USS0012M26S,AGUA CANYON UT US,20120204,24,32,20,21
GHCND:USS0012M26S,AGUA CANYON UT US,20120205,23,32,18,20
GHCND:USS0012M26S,AGUA CANYON UT US,20120206,22,34,16,19
GHCND:USS0012M26S,AGUA CANYON UT US,20120207,24,31,17,25
GHCND:USS0012M26S,AGUA CANYON UT US,20120208,32,45,25,29
GHCND:USS0012M26S,AGUA CANYON UT US,20120209,33,43,24,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120210,38,51,30,34
GHCND:USS0012M26S,AGUA CANYON UT US,20120211,36,46,29,30
GHCND:USS0012M26S,AGUA CANYON UT US,20120212,28,38,21,22
GHCND:USS0012M26S,AGUA CANYON UT US,20120213,26,32,22,22
GHCND:USS0012M26S,AGUA CANYON UT US,20120214,22,31,16,18
GHCND:USS0012M26S,AGUA CANYON UT US,20120215,22,27,15,21
GHCND:USS0012M26S,AGUA CANYON UT US,20120216,24,34,16,21
GHCND:USS0012M26S,AGUA CANYON UT US,20120217,28,40,20,28
GHCND:USS0012M26S,AGUA CANYON UT US,20120218,32,46,26,27
GHCND:USS0012M26S,AGUA CANYON UT US,20120219,20,29,10,11
GHCND:USS0012M26S,AGUA CANYON UT US,20120220,23,41,10,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120221,31,46,21,32
GHCND:USS0012M26S,AGUA CANYON UT US,20120222,37,49,30,34
GHCND:USS0012M26S,AGUA CANYON UT US,20120223,27,36,17,18
GHCND:USS0012M26S,AGUA CANYON UT US,20120224,29,40,17,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120225,34,44,21,22
GHCND:USS0012M26S,AGUA CANYON UT US,20120226,23,34,14,23
GHCND:USS0012M26S,AGUA CANYON UT US,20120227,28,38,22,23
GHCND:USS0012M26S,AGUA CANYON UT US,20120228,22,29,19,20
GHCND:USS0012M26S,AGUA CANYON UT US,20120229,24,33,18,24
GHCND:USS0012M26S,AGUA CANYON UT US,20120301,23,31,11,11
GHCND:USS0012M26S,AGUA CANYON UT US,20120302,14,24,7,16
GHCND:USS0012M26S,AGUA CANYON UT US,20120303,27,40,15,28
GHCND:USS0012M26S,AGUA CANYON UT US,20120304,38,56,25,36
GHCND:USS0012M26S,AGUA CANYON UT US,20120305,43,54,35,37
GHCND:USS0012M26S,AGUA CANYON UT US,20120306,36,45,21,22
GHCND:USS0012M26S,AGUA CANYON UT US,20120307,18,25,11,18
GHCND:USS0012M26S,AGUA CANYON UT US,20120308,28,41,14,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120309,38,49,29,31
GHCND:USS0012M26S,AGUA CANYON UT US,20120310,38,50,30,35
GHCND:USS0012M26S,AGUA CANYON UT US,20120311,37,47,31,33
GHCND:USS0012M26S,AGUA CANYON UT US,20120312,37,47,30,35
GHCND:USS0012M26S,AGUA CANYON UT US,20120313,39,50,32,35
GHCND:USS0012M26S,AGUA CANYON UT US,20120314,40,50,31,36
GHCND:USS0012M26S,AGUA CANYON UT US,20120315,43,54,32,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120316,43,53,35,38
GHCND:USS0012M26S,AGUA CANYON UT US,20120317,36,42,30,30
GHCND:USS0012M26S,AGUA CANYON UT US,20120318,20,30,16,17
GHCND:USS0012M26S,AGUA CANYON UT US,20120319,19,29,13,13
GHCND:USS0012M26S,AGUA CANYON UT US,20120320,26,40,12,30
GHCND:USS0012M26S,AGUA CANYON UT US,20120321,38,51,29,37
GHCND:USS0012M26S,AGUA CANYON UT US,20120322,46,60,35,42
